,id,female_director,female_ratio
0,862,0,0.680672268907563
1,8844,0,0.4523809523809524
2,15602,0,0.2727272727272727
3,31357,0,0.55
4,11862,0,0.42105263157894735
5,949,0,0.625
6,11860,0,0.6454545454545455
7,45325,0,0.2727272727272727
8,9091,0,0.2
9,710,0,0.5454545454545454
10,9087,0,0.3333333333333333
11,12110,0,0.35
12,21032,0,0.5555555555555556
13,10858,0,0.19047619047619047
14,1408,0,0.3191489361702128
15,524,0,0.4
16,4584,0,0.48
17,5,0,0.7232142857142857
18,9273,0,0.2692307692307692
19,11517,0,0.4915254237288136
20,8012,0,0.4523809523809524
21,1710,0,0.4166666666666667
22,9691,0,0.6363636363636364
23,12665,0,0.21428571428571427
24,451,0,0.4230769230769231
25,16420,0,0.25
26,9263,1,0.75
27,17015,0,0.7083333333333334
28,902,1,0.7586206896551724
29,37557,0,0.9
30,9909,0,0.6829268292682927
31,63,0,0.6620370370370371
32,78802,0,0.6875
33,9598,0,0.41379310344827586
34,47018,0,0.6666666666666666
35,687,0,0.6423357664233577
36,139405,0,0.75
37,33689,0,0.8
38,9603,1,0.68
39,34615,1,0.6428571428571429
40,31174,0,0.18181818181818182
41,11443,0,0.18181818181818182
42,35196,0,0.4375
43,9312,0,0.5384615384615384
44,577,0,0.6
45,11861,1,0.6538461538461539
46,807,0,0.5428571428571428
47,10530,0,0.5531914893617021
48,8391,1,0.75
49,629,0,0.5975609756097561
50,117164,0,0.375
51,11448,0,0.38095238095238093
52,49133,0,0.4444444444444444
53,26441,1,0.4666666666666667
54,97406,0,0.3
55,124057,0,0.125
56,9089,1,0.6296296296296297
57,11010,0,0.5833333333333334
58,99040,0,0.5714285714285714
59,11359,0,0.45
60,17182,0,0.5777777777777777
61,2054,0,0.6164383561643836
62,10607,0,0.3076923076923077
63,19760,0,0.4
64,9536,0,0.38095238095238093
65,11525,0,0.42857142857142855
66,40628,0,0.2857142857142857
67,4482,1,0.75
68,10634,0,0.34782608695652173
69,755,0,0.7
70,11859,0,0.375
71,28387,0,0.44
72,48750,0,0.42105263157894735
73,20927,0,0.8333333333333334
74,36929,0,0.2
75,9102,0,0.6136363636363636
76,124626,1,0.8461538461538461
77,27526,0,0.425
78,9623,0,0.28
79,46785,0,0.8571428571428571
80,400,0,0.22727272727272727
81,880,1,0.9130434782608695
82,146599,0,0.5714285714285714
83,188588,0,0.47058823529411764
84,8447,1,0.8333333333333334
85,10534,0,0.16
86,17414,1,0.30434782608695654
87,13997,1,0.3157894736842105
88,2086,0,0.2727272727272727
89,61548,0,0.3888888888888889
90,9095,1,0.52
91,12158,0,0.35
92,9283,0,0.527027027027027
93,9208,0,0.21875
94,40154,0,0.3333333333333333
95,406,0,0.5227272727272727
96,45549,0,0.4583333333333333
97,63076,0,0.5384615384615384
98,11062,0,0.07692307692307693
99,13685,0,0.4
100,47475,0,0.6
101,2045,0,0.35294117647058826
102,9614,0,0.25925925925925924
103,688,0,0.56
104,11907,1,0.8461538461538461
105,10874,0,0.35
106,89333,1,0.8
